itemid,shopid,name,variations,brand,shop_location,view_count,sold,rating_star,rating_count(1* - 5*),price
1488350827,58399260,Mặt nạ Bisutang 8 vị trái cây dưỡng trắng da từ thiên nhiên,"['Trà Xanh', 'Gạo Trắng', 'Nha Đam', 'Búp Tre', 'Lựu Đỏ', 'Cam', 'Mật Ong', 'Hoa Hồng']",Bisutang,Hà Nội,2880,1551,4.968586387434555,"[1, 2, 7, 18]","[260000000, 260000000]"
3854824846,37251933,Bộ 2 nước tẩy trang đa năng 3-in-1 tươi mát L'Oreal Paris (xanh dương nhạt),[''],L'Oréal Paris,TP. Hồ Chí Minh,60009,1066,4.961217476681394,"[8, 7, 26, 63]","[28500000000, 28500000000]"
9433466914,243054657,Mặt Nạ Ngủ Tinh Chất Tổ Yến Dưỡng Ẩm Thu Nhỏ Lỗ Chân Lông,[''],,Nước ngoài,3655,1071,4.972436604189636,"[0, 1, 5, 12]","[180000000, 180000000]"
2372920682,51114105,Mặt nạ đắp mặt dưỡng trắng thâm One Spring chiết xuất tơ tằm siêu dưỡng chất,"['Lụa Tím', 'Lụa Bạc', 'Lụa Vàng', 'Lụa Cam', 'Lụa Xanh lá']",No Brand,TP. Hồ Chí Minh,3196,874,4.961490163248221,"[13, 1, 3, 31]","[295000000, 295000000]"
2655277346,22823111,Nước bí đao cân bằng da (Winter melon toner) Cocoon 140ml,[''],cocoon,TP. Hồ Chí Minh,32607,807,4.959567344836467,"[6, 2, 22, 90]","[16625000000, 16625000000]"
2920811386,979943,Mặt nạ Foodaholic Essential Mask,"['#1 Vitamin A', '#2 Vitamin B', '#3 Vitamin C', '#4 Vitamin D', '#5 Vitamin E', '#6 Vitamin K', '#7 Collagen', ""#8 Bird's Nest"", '#9 Black Pearl', '#10 Diamond']",3D Food a Holic,TP. Hồ Chí Minh,3812,797,4.989406779661017,"[0, 0, 0, 5]","[900000000, 900000000]"
2314922947,145492552,[RẺ VÔ ĐỊCH] Mặt nạ đá băng dưỡng da mụn cấp ẩm thải độc Hydra Smoothing Skin Ice Membrane Images,[''],,Hà Nội,1540,707,4.96730083234245,"[3, 1, 9, 26]","[260000000, 260000000]"
1951163905,28321649,[ Chính Hãng ] Mặt nạ lột sulwhasoo thảo dược sáng da loại bỏ tế bào chết và mụn cám Clarifying Mask 30ml,[''],Sulwhasoo,TP. Hồ Chí Minh,27274,624,4.979351032448378,"[0, 1, 2, 7]","[15000000000, 15000000000]"
2324513079,28228365,Nước tẩy trang Maycreate 300ml,[''],,Thái Nguyên,10400,609,4.9641255605381165,"[5, 3, 11, 13]","[2750000000, 2750000000]"
27132949,5722609,Sữa rửa mặt 3W clinic Trà xanh/ Gạo/Collagen/Hoa hồng/ Than hoạt tính,"['Tra xanh', 'Hoa hồng', 'Gao', 'Collagen', 'Than', 'Vitamin C']",,TP. Hồ Chí Minh,5838,551,4.9608183079056865,"[5, 6, 12, 55]","[2600000000, 2600000000]"
